trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
5403_840,17:37:00,17:38:00,8220WBROK,18,,0,0,1
5403_840,17:42:00,17:42:00,8350IR0123,19,,1,0,1
5403_841,16:55:00,16:55:00,8240IR0017,1,Greystones,0,1,1
5403_841,16:58:00,16:58:00,8240IR0024,2,,0,0,1
5403_841,17:00:00,17:00:00,8240IR0140,3,,0,0,1
5403_841,17:03:00,17:03:00,8240IR0025,4,,0,0,1
5403_841,17:05:00,17:05:00,8220IR0141,5,,0,0,1
5403_841,17:07:00,17:08:00,8220IR0035,6,,0,0,1
5403_841,17:09:00,17:10:00,8220IR0131,7,,0,0,1
5403_841,17:11:00,17:12:00,8220IR3881,8,,0,0,1
5403_841,17:15:00,17:15:00,8220IR0032,9,,0,0,1
5403_841,17:20:00,17:21:00,8220IR0007,10,,0,0,1
5403_841,17:23:00,17:24:00,8220IR0025,11,,0,0,1
5403_841,17:25:00,17:26:00,8220IR0134,12,,0,0,1
5403_841,17:27:00,17:28:00,8220IR0135,13,,0,0,1
5403_841,17:30:00,17:31:00,8220IR0133,14,,0,0,1
5403_841,17:32:00,17:33:00,8220IR0028,15,,0,0,1
5403_841,17:35:00,17:35:00,8220IR0034,16,,0,0,1
5403_841,17:37:00,17:38:00,8250IR0039,17,,0,0,1
5403_841,17:39:00,17:40:00,8250IR0030,18,,0,0,1
5403_841,17:41:00,17:42:00,8250IR0029,19,,0,0,1
5403_841,17:43:00,17:44:00,8250IR0042,20,,0,0,1
5403_841,17:46:00,17:46:00,8250IR0124,21,,0,0,1
5403_841,17:49:00,17:49:00,8250IR0111,22,,0,0,1
5403_841,17:51:00,17:51:00,8250IR0037,23,,0,0,1
5403_841,17:53:00,17:54:00,8250IR0014,24,,0,0,1
5403_841,17:58:00,17:58:00,8250IR0021,25,,0,0,1
5403_841,18:01:00,18:01:00,8250IR0022,26,,0,0,1
5403_841,18:04:00,18:04:00,8220WBROK,27,,0,0,1
5403_841,18:09:00,18:12:00,8350IR0123,28,,0,0,1
